SKU,Last_Sale_Date,Category,Monetary,Quantity,Frequency,Recency,Segment,Segment_Name
BTM002-XXXL,2022-05-13,Bottom,518.0,1,1,48,0,Dormant/Low-Performer
BTM003-B-XXXL,2022-04-26,Bottom,518.0,1,1,65,0,Dormant/Low-Performer
BTM003-M,2022-04-19,Bottom,518.0,1,1,72,0,Dormant/Low-Performer
BTM003-XXXL,2022-06-13,Bottom,518.0,1,1,17,0,Dormant/Low-Performer
BTM004-XXXL,2022-05-22,Bottom,349.0,1,1,39,0,Dormant/Low-Performer
BTM005-B-L,2022-06-28,Bottom,518.0,1,1,2,0,Dormant/Low-Performer
BTM005-L,2022-04-16,Bottom,518.0,1,1,75,0,Dormant/Low-Performer
BTM005-XXL,2022-06-28,Bottom,518.0,1,1,2,0,Dormant/Low-Performer
BTM005-XXXL,2022-05-02,Bottom,518.0,1,1,59,0,Dormant/Low-Performer
BTM008-B-L,2022-06-01,Bottom,1036.0,2,2,29,0,Dormant/Low-Performer
BTM008-B-M,2022-06-24,Bottom,1036.0,2,2,6,0,Dormant/Low-Performer
BTM008-B-XXL,2022-06-11,Bottom,1036.0,2,2,19,0,Dormant/Low-Performer
BTM008-L,2022-05-25,Bottom,518.0,1,1,36,0,Dormant/Low-Performer
BTM008-XL,2022-06-17,Bottom,1036.0,2,2,13,0,Dormant/Low-Performer
BTM008-XXL,2022-05-25,Bottom,1036.0,2,2,36,0,Dormant/Low-Performer
BTM008-XXXL,2022-05-13,Bottom,518.0,1,1,48,0,Dormant/Low-Performer
BTM021-B-L,2022-04-21,Bottom,518.0,1,1,70,0,Dormant/Low-Performer
BTM021-B-XS,2022-04-20,Bottom,518.0,1,1,71,0,Dormant/Low-Performer
BTM021-B-XXL,2022-04-26,Bottom,518.0,1,1,65,0,Dormant/Low-Performer
BTM021-B-XXXL,2022-05-28,Bottom,518.0,1,1,33,0,Dormant/Low-Performer
BTM026-NP-L,2022-05-24,Bottom,1036.0,2,2,37,0,Dormant/Low-Performer
BTM026-NP-M,2022-04-23,Bottom,518.0,1,1,68,0,Dormant/Low-Performer
BTM026-NP-S,2022-04-21,Bottom,518.0,1,1,70,0,Dormant/Low-Performer
BTM026-NP-XL,2022-04-29,Bottom,1036.0,2,2,62,0,Dormant/Low-Performer
BTM026-NP-XS,2022-04-23,Bottom,518.0,1,1,68,0,Dormant/Low-Performer
BTM026-NP-XXL,2022-06-05,Bottom,729.0,1,1,25,0,Dormant/Low-Performer
BTM026-NP-XXXL,2022-06-28,Bottom,1036.0,2,2,2,0,Dormant/Low-Performer
BTM027-NP-XXL,2022-05-02,Bottom,518.0,1,1,59,0,Dormant/Low-Performer
BTM027-NP-XXXL,2022-04-25,Bottom,1554.0,3,3,66,0,Dormant/Low-Performer
BTM029-NP-L,2022-06-21,Bottom,1036.0,2,2,9,0,Dormant/Low-Performer
BTM029-NP-M,2022-06-26,Bottom,1036.0,2,2,4,0,Dormant/Low-Performer
BTM029-NP-S,2022-04-24,Bottom,1554.0,3,3,67,0,Dormant/Low-Performer
BTM029-NP-XL,2022-06-18,Bottom,1554.0,3,3,12,0,Dormant/Low-Performer
BTM029-NP-XS,2022-05-25,Bottom,518.0,1,1,36,0,Dormant/Low-Performer
BTM029-NP-XXL,2022-05-20,Bottom,1554.0,3,3,41,0,Dormant/Low-Performer
BTM029-NP-XXXL,2022-04-19,Bottom,1036.0,2,2,72,0,Dormant/Low-Performer
BTM030-NP-M,2022-04-28,Bottom,284.0,1,1,63,0,Dormant/Low-Performer
BTM030-NP-XL,2022-06-18,Bottom,301.0,1,1,12,0,Dormant/Low-Performer
BTM030-NP-XS,2022-05-02,Bottom,1420.0,5,5,59,0,Dormant/Low-Performer
BTM030-NP-XXL,2022-04-27,Bottom,284.0,1,1,64,0,Dormant/Low-Performer
BTM030-NP-XXXL,2022-06-25,Bottom,1488.0,5,5,5,0,Dormant/Low-Performer
BTM031-NP-L,2022-06-15,Bottom,2072.0,4,4,15,0,Dormant/Low-Performer
BTM031-NP-M,2022-04-27,Bottom,518.0,1,1,64,0,Dormant/Low-Performer
BTM031-NP-XL,2022-06-25,Bottom,2590.0,5,5,5,0,Dormant/Low-Performer
BTM031-NP-XS,2022-04-20,Bottom,518.0,1,1,71,0,Dormant/Low-Performer
BTM031-NP-XXL,2022-04-19,Bottom,518.0,1,1,72,0,Dormant/Low-Performer
BTM032-NP-S,2022-06-26,Bottom,2442.0,8,8,4,0,Dormant/Low-Performer
BTM032-NP-XS,2022-04-23,Bottom,594.0,2,2,68,0,Dormant/Low-Performer
BTM033-NP-XS,2022-04-22,Bottom,297.0,1,1,69,0,Dormant/Low-Performer
BTM033-NP-XXL,2022-04-05,Bottom,297.0,1,1,86,0,Dormant/Low-Performer
BTM033-NP-XXXL,2022-06-20,Bottom,899.0,3,3,10,0,Dormant/Low-Performer
BTM035-NP-XS,2022-04-23,Bottom,568.0,2,2,68,0,Dormant/Low-Performer
BTM035-NP-XXXL,2022-06-20,Bottom,903.0,3,3,10,0,Dormant/Low-Performer
BTM036-PP-L,2022-06-01,Bottom,1097.0,3,3,29,0,Dormant/Low-Performer
BTM036-PP-M,2022-04-13,Bottom,360.0,1,1,78,0,Dormant/Low-Performer
BTM036-PP-S,2022-04-10,Bottom,737.0,2,2,81,0,Dormant/Low-Performer
BTM036-PP-XL,2022-06-09,Bottom,786.0,2,2,21,0,Dormant/Low-Performer
BTM036-PP-XXL,2022-06-22,Bottom,1787.0,5,5,8,0,Dormant/Low-Performer
BTM036-PP-XXXL,2022-04-29,Bottom,1080.0,3,3,62,0,Dormant/Low-Performer
BTM037-PP-M,2022-05-15,Bottom,345.0,1,1,46,0,Dormant/Low-Performer
BTM037-PP-S,2022-06-16,Bottom,345.0,1,1,14,0,Dormant/Low-Performer
BTM037-PP-XL,2022-06-15,Bottom,1050.0,3,3,15,0,Dormant/Low-Performer
BTM037-PP-XS,2022-04-22,Bottom,360.0,1,1,69,0,Dormant/Low-Performer
BTM037-PP-XXL,2022-05-21,Bottom,345.0,1,1,40,0,Dormant/Low-Performer
BTM037-PP-XXXL,2022-05-23,Bottom,705.0,2,2,38,0,Dormant/Low-Performer
BTM038-PP-L,2022-06-19,Bottom,1116.0,3,3,11,0,Dormant/Low-Performer
BTM038-PP-S,2022-05-19,Bottom,2268.0,6,6,42,0,Dormant/Low-Performer
BTM038-PP-XS,2022-06-16,Bottom,360.0,1,1,14,0,Dormant/Low-Performer
BTM038-PP-XXL,2022-05-19,Bottom,379.0,1,1,42,0,Dormant/Low-Performer
BTM038-PP-XXXL,2022-06-26,Bottom,2251.0,6,6,4,0,Dormant/Low-Performer
BTM039-PP-L,2022-05-15,Bottom,1800.0,5,4,46,0,Dormant/Low-Performer
BTM039-PP-M,2022-06-22,Bottom,1800.0,5,5,8,0,Dormant/Low-Performer
BTM039-PP-S,2022-05-28,Bottom,1800.0,5,5,33,0,Dormant/Low-Performer
BTM039-PP-XL,2022-05-16,Bottom,1080.0,3,3,45,0,Dormant/Low-Performer
BTM039-PP-XS,2022-04-06,Bottom,360.0,1,1,85,0,Dormant/Low-Performer
BTM039-PP-XXL,2022-04-10,Bottom,720.0,2,1,81,0,Dormant/Low-Performer
BTM039-PP-XXXL,2022-05-26,Bottom,2520.0,7,7,35,0,Dormant/Low-Performer
BTM040-PP-M,2022-06-22,Bottom,331.0,1,1,8,0,Dormant/Low-Performer
BTM040-PP-S,2022-06-03,Bottom,749.0,2,2,27,0,Dormant/Low-Performer
BTM040-PP-XL,2022-05-29,Bottom,701.0,2,2,32,0,Dormant/Low-Performer
BTM040-PP-XS,2022-04-18,Bottom,345.0,1,1,73,0,Dormant/Low-Performer
BTM040-PP-XXL,2022-06-11,Bottom,1377.0,4,4,19,0,Dormant/Low-Performer
BTM040-PP-XXXL,2022-05-02,Bottom,1035.0,3,3,59,0,Dormant/Low-Performer
BTM041-PP-S,2022-04-21,Bottom,345.0,1,1,70,0,Dormant/Low-Performer
BTM041-PP-XL,2022-05-26,Bottom,993.0,3,3,35,0,Dormant/Low-Performer
BTM041-PP-XS,2022-04-09,Bottom,345.0,1,1,82,0,Dormant/Low-Performer
BTM041-PP-XXL,2022-04-09,Bottom,690.0,2,2,82,0,Dormant/Low-Performer
BTM041-PP-XXXL,2022-06-26,Bottom,1352.0,4,4,4,0,Dormant/Low-Performer
BTM042-PP-L,2022-05-17,Bottom,1609.0,5,5,44,0,Dormant/Low-Performer
BTM042-PP-M,2022-05-19,Bottom,963.0,3,3,42,0,Dormant/Low-Performer
BTM042-PP-S,2022-05-08,Bottom,317.0,1,1,53,0,Dormant/Low-Performer
BTM042-PP-XL,2022-04-08,Bottom,674.0,2,2,83,0,Dormant/Low-Performer
BTM042-PP-XS,2022-04-16,Bottom,658.0,2,2,75,0,Dormant/Low-Performer
BTM042-PP-XXL,2022-05-04,Bottom,329.0,1,1,57,0,Dormant/Low-Performer
BTM042-PP-XXXL,2022-06-14,Bottom,646.0,2,2,16,0,Dormant/Low-Performer
BTM043-PP-S,2022-05-20,Bottom,756.0,2,2,41,0,Dormant/Low-Performer
BTM043-PP-XL,2022-05-20,Bottom,756.0,2,2,41,0,Dormant/Low-Performer
BTM043-PP-XS,2022-04-18,Bottom,377.0,1,1,73,0,Dormant/Low-Performer
BTM043-PP-XXL,2022-05-19,Bottom,1512.0,4,4,42,0,Dormant/Low-Performer
BTM043-PP-XXXL,2022-05-27,Bottom,379.0,1,1,34,0,Dormant/Low-Performer
BTM044-PP-M,2022-04-29,Bottom,1080.0,3,3,62,0,Dormant/Low-Performer
BTM044-PP-XL,2022-05-16,Bottom,377.0,1,1,45,0,Dormant/Low-Performer
BTM044-PP-XS,2022-04-18,Bottom,360.0,1,1,73,0,Dormant/Low-Performer
BTM044-PP-XXL,2022-05-02,Bottom,360.0,1,1,59,0,Dormant/Low-Performer
BTM044-PP-XXXL,2022-05-02,Bottom,720.0,2,2,59,0,Dormant/Low-Performer
BTM045-PP-M,2022-05-21,Bottom,331.0,1,1,40,0,Dormant/Low-Performer
BTM045-PP-XL,2022-05-24,Bottom,2028.0,6,6,37,0,Dormant/Low-Performer
BTM045-PP-XXL,2022-04-25,Bottom,690.0,2,2,66,0,Dormant/Low-Performer
BTM045-PP-XXXL,2022-05-23,Bottom,676.0,2,2,38,0,Dormant/Low-Performer
BTM046-PP-XL,2022-05-16,Bottom,369.0,1,1,45,0,Dormant/Low-Performer
BTM047-PP-L,2022-06-21,Bottom,691.0,2,2,9,0,Dormant/Low-Performer
BTM047-PP-M,2022-05-09,Bottom,331.0,1,1,52,0,Dormant/Low-Performer
BTM047-PP-S,2022-04-24,Bottom,690.0,2,2,67,0,Dormant/Low-Performer
BTM047-PP-XS,2022-04-16,Bottom,345.0,1,1,75,0,Dormant/Low-Performer
BTM047-PP-XXL,2022-06-18,Bottom,676.0,2,2,12,0,Dormant/Low-Performer
BTM047-PP-XXXL,2022-04-07,Bottom,345.0,1,1,84,0,Dormant/Low-Performer
BTM048-PP-L,2022-06-02,Bottom,356.0,1,1,28,0,Dormant/Low-Performer
BTM048-PP-M,2022-06-18,Bottom,676.0,2,2,12,0,Dormant/Low-Performer
BTM048-PP-XS,2022-04-22,Bottom,345.0,1,1,69,0,Dormant/Low-Performer
BTM048-PP-XXL,2022-06-20,Bottom,662.0,2,2,10,0,Dormant/Low-Performer
BTM048-PP-XXXL,2022-05-01,Bottom,345.0,1,1,60,0,Dormant/Low-Performer
CH201-RED-M,2022-06-21,Bottom,602.0,2,2,9,0,Dormant/Low-Performer
CH202-ORANGE-L,2022-06-22,Bottom,574.0,2,2,8,0,Dormant/Low-Performer
CH202-ORANGE-XXL,2022-06-21,Bottom,301.0,1,1,9,0,Dormant/Low-Performer
CH203-MAROON-L,2022-04-23,Bottom,546.0,2,2,68,0,Dormant/Low-Performer
CH203-MAROON-S,2022-06-22,Bottom,301.0,1,1,8,0,Dormant/Low-Performer
CH204-PURPLE-L,2022-04-21,Bottom,284.0,1,1,70,0,Dormant/Low-Performer
CH204-PURPLE-M,2022-06-22,Bottom,585.0,2,2,8,0,Dormant/Low-Performer
CH204-PURPLE-S,2022-04-07,Bottom,284.0,1,1,84,0,Dormant/Low-Performer
CH205-YELLOW-S,2022-04-18,Bottom,273.0,1,1,73,0,Dormant/Low-Performer
